Тип,Площадь (м^2),Этаж,Всего этажей,Станция,Время до станции (мин),Пешком?,Улица,Цена в день (руб.),С залогом?,Залог (руб.)
1-комн. апарт.,19,3,5,лиговский проспект,7,True,коломенская улица,2000,False,0
1-комн. кв.,6,2,7,московская,2,True,московский проспект,1380,False,0
студия,28,15,16,звездная,6,False,улица среднерогатская,1500,True,3000
2-комн. кв.,55,1,9,проспект ветеранов,7,False,проспект ветеранов,2000,True,3000
1-комн. апарт.,28,5,5,садовая,7,True,набережная реки фонтанки,2500,False,0
1-комн. кв.,41,5,6,василеостровская,3,False,проспект большой васильевского острова,2000,True,2000
1-комн. кв.,45,9,10,московская,2,True,московский проспект,1380,False,0
студия,24,2,10,ленинский проспект,20,False,улица адмирала черокова,1300,True,2000
2-комн. кв.,75,6,9,площадь восстания,20,True,10-я советская улица,4400,True,3000
1-комн. кв.,40,3,5,адмиралтейская,3,True,невский проспект,2600,True,2600
апартаменты-студия,15,1,4,спортивная,19,True,днепровский переулок,1500,True,2000
1-комн. кв.,40,7,8,проспект ветеранов,15,False,улица генерала кравченко,1795,True,2000
студия,27,3,12,приморская,19,True,уральская улица,2000,True,5000
1-комн. кв.,38,10,22,проспект большевиков,3,False,индустриальный проспект,1700,True,1000
1-комн. кв.,38,8,22,ленинский проспект,15,False,проспект героев,1795,True,2000
3-комн. кв.,80,2,5,адмиралтейская,2,True,большая морская улица,2000,True,7000
2-комн. кв.,60,1,4,площадь восстания,7,True,невский проспект,2590,True,5000
апартаменты-студия,15,5,5,сенная площадь,7,True,переулок апраксин,1500,True,2000
2-комн. кв.,70,11,18,кировский завод,4,False,оборонная улица,2300,True,3000
3-комн. кв.,95,2,6,достоевская,6,True,малая московская улица,2500,True,5000
3-комн. кв.,130,2,5,гостиный двор,7,True,караванная улица,2000,True,7000
1-комн. кв.,27,1,5,гостиный двор,14,True,моховая улица,2400,True,5000
1-комн. кв.,29,4,8,старая деревня,13,True,улица савушкина,2000,True,2000
4-комн. апарт.,130,3,4,гостиный двор,10,True,набережная реки фонтанки,8050,True,20000
3-комн. кв.,79,3,6,владимирская,5,True,улица марата,3490,True,5000
1-комн. кв.,30,2,9,ленинский проспект,8,False,улица маршала захарова,1300,True,1000
2-комн. кв.,49,12,16,фрунзенская,10,True,улица парфеновская,2990,True,3000
2-комн. кв.,70,2,5,площадь восстания,3,True,пушкинская улица,6000,True,6000
2-комн. кв.,65,2,4,адмиралтейская,15,True,миллионная улица,3000,True,3000
1-комн. кв.,29,9,16,проспект просвещения,8,True,улица хошимина,1990,True,2000
1-комн. кв.,35,2,9,проспект ветеранов,9,False,проспект ветеранов,1800,True,2000
1-комн. кв.,3,6,12,ленинский проспект,13,False,проспект ветеранов,2400,True,2000
1-комн. кв.,46,12,16,звездная,3,True,улица ленсовета,1800,True,2500
студия,16,2,4,садовая,7,True,казанская улица,1600,False,0
1-комн. кв.,33,4,5,василеостровская,8,True,12-я васильевского острова линия,2000,True,3000
2-комн. кв.,80,3,5,чкаловская,10,True,большая пушкарская улица,2900,True,5000
2-комн. кв.,45,6,9,детскосельская,8,False,улица изборская,2000,True,2000
2-комн. кв.,61,13,265,проспект славы,8,True,южное шоссе,2200,True,3000
1-комн. кв.,30,2,9,проспект славы,3,True,альпийский переулок,1800,True,2000
1-комн. кв.,52,2,4,садовая,17,True,улица глинки,2500,False,0
1-комн. кв.,42,2,5,площадь восстания,4,True,пушкинская улица,2700,True,5000
